Restaurants Type,id,name,city,avgRating,cuisines,costForTwoStrings,deliveryTime,minDeliveryTime,maxDeliveryTime,locality,unserviceable,Vegetarian
Fine,262015,Shahi Chulha,Mumbai,0.0,"['North,Indian',,'Punjabi',,'Street,Food',,'Mughlai',,'Biryani',,'Tandoor',,'Arabian']",300,61,61,61,Bandra West,False,False
Fine,303947,The BlueBop Cafe,Mumbai,4.6,"['Italian',,'American',,'Mexican',,'Pastas',,'Pizzas',,'Desserts',,'Salads',,'Snacks']",1100,62,62,62,Bandra West,False,False
Fine,5979,Health Juice Centre Matunga,Mumbai,4.5,"['Juices',,'Fast,Food']",400,55,55,55,Matunga,False,True
Fine,200716,Desi Shawarma,Mumbai,0.0,"['Fast,Food',,'Street,Food',,'Arabian']",200,56,56,56,Opposite Singapore Arcade,False,False
Fine,335113,The Dough Therapy,Mumbai,4.3,"['Italian',,'Pizzas',,'Pastas',,'Desserts',,'Beverages']",600,63,63,63,Matunga Wadala,False,False
Fine,76997,Badri's,Mumbai,4.3,['Indian'],500,57,57,57,Chembur,False,False
Fine,42423,Ching Asia,Mumbai,4.5,['Pan-Asian'],600,64,64,64,Chakala,False,False
Fine,245773,Foodies Chinese Corner,Mumbai,4.1,['Indian'],250,57,57,57,Chembur,False,False
Fine,155638,Just Frys,Mumbai,0.0,"['Fast,Food']",200,58,58,58,Opposite Singapore Arcade,False,False
Fine,155656,Punjabi Meal Box,Mumbai,3.9,"['North,Indian',,'Punjabi',,'Street,Food',,'Mughlai',,'Biryani',,'Tandoor',,'Arabian']",350,59,59,59,Opposite Singapore Arcade,False,False
Fine,155642,The Punjabi Co.,Mumbai,3.6,"['North,Indian',,'Punjabi',,'Street,Food',,'Mughlai',,'Biryani',,'Tandoor',,'Arabian']",250,62,62,62,Opposite Singapore Arcade,False,False
Fine,110314,Paa G,Mumbai,0.0,"['North,Indian',,'Chinese',,'Italian']",400,62,62,62,Andheri East,False,False
Fine,10972,Cocoon - Dragonfly Hotel,Mumbai,4.4,"['North,Indian',,'Chinese']",400,59,59,59,Chakala,False,False
Fine,25562,New Punjab Restaurant & Bar (King circle),Mumbai,4.3,"['Mughlai',,'North,Indian',,'Chinese',,'Seafood']",750,58,58,58,Bhaudaji Road,False,False
Fine,10741,Koldplay Ice Creams,Mumbai,4.4,"['Ice,Cream',,'Desserts']",250,52,52,52,Kings Circle,False,True
Fine,5504,Monica Chinese Fast Food,Mumbai,3.9,['Chinese'],350,57,57,57,Antop Hill,False,False
Fine,284671,China Gate (Mahakali - Andheri East),Mumbai,4.3,['Chinese'],1200,70,70,70,Powai Area,False,False
Fine,67108,Sindhful,Mumbai,4.4,"['Sindhi',,'North,Indian',,'Snacks']",700,57,57,57,Khar,False,False
Fine,449079,Hyderabadi Dum Biryani,Mumbai,0.0,"['Biryani',,'Beverages']",500,57,57,57,Powai,False,False
Fine,449081,BOGO Biryani,Mumbai,0.0,"['Biryani',,'Beverages']",500,58,58,58,Powai,False,False
Fine,394769,149@Biryani,Mumbai,0.0,"['Biryani',,'North,Indian']",200,59,59,59,Powai,False,False
Fine,448190,Biryani & Free Masala Chaas,Mumbai,0.0,"['Biryani',,'Beverages']",500,58,58,58,Powai,False,False
Fine,391172,99@Biryani,Mumbai,3.5,['Biryani'],200,55,55,55,Powai,False,False
Fine,448135,Biryani House,Mumbai,0.0,"['Biryani',,'Beverages']",500,57,57,57,Powai,False,False
Fine,400160,Tandoori Pizza,Mumbai,0.0,"['Pizzas',,'Kebabs',,'North,Indian',,'Fast,Food',,'Desserts']",500,61,61,61,SV Road,False,False
Fine,348533,Caravan Serai,Mumbai,0.0,"['Indian',,'Fast,Food']",1000,63,63,63,Andheri East,False,False
Fine,448268,Irish Biryani,Mumbai,0.0,"['Hyderabadi',,'Biryani',,'Beverages']",500,58,58,58,Powai,False,False
Fine,448286,Biryani Center,Mumbai,0.0,"['Biryani',,'Beverages']",500,58,58,58,Powai,False,False
Fine,406801,Pizza Lover,Mumbai,0.0,['Pizzas'],250,58,58,58,Powai,False,False
Fine,198476,Cafe Sahar,Mumbai,4.0,"['North,Indian',,'Chinese',,'Mughlai',,'Desserts',,'Fast,Food']",300,56,56,56,Andheri East,False,False
Fine,420468,Pizza Bar,Mumbai,0.0,['Pizzas'],500,62,62,62,Powai,False,False
Fine,239083,Noodle Bar,Mumbai,0.0,"['Chinese',,'Continental']",550,58,58,58,Powai,False,False
Fine,291652,KHAVAYYA HOUSE,Mumbai,0.0,"['Indian',,'Chinese']",200,64,64,64,Mahim Dadar,False,False
Fine,445258,THE LAKE FRONT RESTAURANT,Mumbai,0.0,"['North,Indian',,'Chinese',,'Thalis',,'Biryani']",300,57,57,57,Marol Sakinaka,False,False
Fine,448326,Biryani Point,Mumbai,0.0,"['Biryani',,'Beverages']",500,58,58,58,Powai,False,False
Fine,448310,Buy 2 get 1 Free Biryani,Mumbai,0.0,"['Biryani',,'Beverages']",500,58,58,58,Powai,False,False
Fine,28567,New Khalsa Punjab,Mumbai,0.0,"['Mughlai',,'North,Indian',,'Chinese']",450,65,65,65,Mahul Road,False,False
Fine,334921,Sheetal Restaurant and Bar,Mumbai,4.2,"['Indian',,'Seafood',,'Chinese',,'Ice,Cream']",1200,57,57,57,Bandra West,False,False
Fine,23445,Khaana Khazana,Mumbai,4.1,"['North,Indian',,'Chinese']",400,54,54,54,SM Road,False,False
Fine,239190,Food Style,Mumbai,0.0,['Indian'],400,61,61,61,Powai,False,False
Fine,253046,Sadak Chaap,Mumbai,4.4,"['North,Indian']",200,58,58,58,Bandra West,False,False
Fine,448438,Kebab Biryani,Mumbai,0.0,['Biryani'],500,58,58,58,Powai,False,False
Fine,237511,Cafe Safar ( Andheri East ),Mumbai,4.0,"['Chinese',,'North,Indian',,'Biryani',,'Desserts']",250,57,57,57,Andheri East,False,False
